seed,ft_task,task,perfection_gap_factor
initial,Visual_Similarity,Visual_Similarity,0.6785714285714287
initial,Visual_Similarity,Art_Style,0.06666666666666662
initial,Visual_Similarity,Visual_Correspondence,0.07627118644067797
initial,Visual_Similarity,Relative_Depth,0.32727272727272755
initial,Visual_Similarity,Relative_Reflectance,0.18085106382978727
initial,Visual_Similarity,Spatial_Relation,-0.08333333333333255
initial,Visual_Similarity,Jigsaw,0.0779220779220778
initial,Visual_Similarity,Counting,-0.051282051282051426
initial,Visual_Similarity,Functional_Correspondence,-0.029702970297029733
initial,Visual_Similarity,Semantic_Correspondence,0.0
initial,Visual_Similarity,Multi-view_Reasoning,0.0
initial,Visual_Similarity,Object_Localization,0.0
initial,Visual_Similarity,Forensic_Detection,-0.06024096385542182
initial,Art_Style,Visual_Similarity,0.21428571428571436
initial,Art_Style,Art_Style,0.31111111111111134
initial,Art_Style,Visual_Correspondence,-0.08474576271186435
initial,Art_Style,Relative_Depth,0.27272727272727265
initial,Art_Style,Relative_Reflectance,0.12765957446808512
initial,Art_Style,Spatial_Relation,-0.08333333333333255
initial,Art_Style,Jigsaw,-0.02597402597402602
initial,Art_Style,Counting,-0.12820512820512836
initial,Art_Style,Functional_Correspondence,-0.08910891089108913
initial,Art_Style,Semantic_Correspondence,-0.07291666666666673
initial,Art_Style,Multi-view_Reasoning,0.07499999999999998
initial,Art_Style,Object_Localization,-0.016129032258064526
initial,Art_Style,Forensic_Detection,0.07228915662650605
initial,Visual_Correspondence,Visual_Similarity,-0.19642857142857134
initial,Visual_Correspondence,Art_Style,-0.08888888888888877
initial,Visual_Correspondence,Visual_Correspondence,0.669491525423729
initial,Visual_Correspondence,Relative_Depth,0.21818181818181806
initial,Visual_Correspondence,Relative_Reflectance,0.11702127659574471
initial,Visual_Correspondence,Spatial_Relation,-0.12499999999999968
initial,Visual_Correspondence,Jigsaw,0.10389610389610382
initial,Visual_Correspondence,Counting,-0.051282051282051426
initial,Visual_Correspondence,Functional_Correspondence,0.06930693069306929
initial,Visual_Correspondence,Semantic_Correspondence,-0.010416666666666706
initial,Visual_Correspondence,Multi-view_Reasoning,0.07499999999999998
initial,Visual_Correspondence,Object_Localization,-0.1290322580645162
initial,Visual_Correspondence,Forensic_Detection,-0.16867469879518077
initial,Relative_Depth,Visual_Similarity,-0.16071428571428564
initial,Relative_Depth,Art_Style,-0.24444444444444433
initial,Relative_Depth,Visual_Correspondence,0.05084745762711863
initial,Relative_Depth,Relative_Depth,0.8363636363636362
initial,Relative_Depth,Relative_Reflectance,0.010638297872340462
initial,Relative_Depth,Spatial_Relation,-0.08333333333333255
initial,Relative_Depth,Jigsaw,0.0
initial,Relative_Depth,Counting,-0.051282051282051426
initial,Relative_Depth,Functional_Correspondence,0.019801980198019778
initial,Relative_Depth,Semantic_Correspondence,0.12499999999999994
initial,Relative_Depth,Multi-view_Reasoning,0.07499999999999998
initial,Relative_Depth,Object_Localization,-0.08064516129032262
initial,Relative_Depth,Forensic_Detection,-0.08433734939759045
initial,Relative_Reflectance,Visual_Similarity,0.10714285714285726
initial,Relative_Reflectance,Art_Style,0.022222222222222143
initial,Relative_Reflectance,Visual_Correspondence,0.08474576271186444
initial,Relative_Reflectance,Relative_Depth,0.30909090909090925
initial,Relative_Reflectance,Relative_Reflectance,0.13829787234042554
initial,Relative_Reflectance,Spatial_Relation,-0.2083333333333331
initial,Relative_Reflectance,Jigsaw,-0.038961038961039106
initial,Relative_Reflectance,Counting,-0.07692307692307693
initial,Relative_Reflectance,Functional_Correspondence,0.029702970297029688
initial,Relative_Reflectance,Semantic_Correspondence,-0.02083333333333336
initial,Relative_Reflectance,Multi-view_Reasoning,0.07499999999999998
initial,Relative_Reflectance,Object_Localization,0.03225806451612905
initial,Relative_Reflectance,Forensic_Detection,-0.04819277108433748
initial,Spatial_Relation,Visual_Similarity,-0.08928571428571407
initial,Spatial_Relation,Art_Style,-0.15555555555555556
initial,Spatial_Relation,Visual_Correspondence,0.05084745762711863
initial,Spatial_Relation,Relative_Depth,0.3636363636363638
initial,Spatial_Relation,Relative_Reflectance,0.053191489361702156
initial,Spatial_Relation,Spatial_Relation,0.2083333333333331
initial,Spatial_Relation,Jigsaw,0.025974025974025886
initial,Spatial_Relation,Counting,-0.17948717948717935
initial,Spatial_Relation,Functional_Correspondence,0.009900990099009866
initial,Spatial_Relation,Semantic_Correspondence,0.020833333333333308
initial,Spatial_Relation,Multi-view_Reasoning,0.07499999999999998
initial,Spatial_Relation,Object_Localization,-0.016129032258064526
initial,Spatial_Relation,Forensic_Detection,-0.18072289156626511
initial,Jigsaw,Visual_Similarity,0.44642857142857156
initial,Jigsaw,Art_Style,0.04444444444444429
initial,Jigsaw,Visual_Correspondence,0.05932203389830511
initial,Jigsaw,Relative_Depth,0.20000000000000007
initial,Jigsaw,Relative_Reflectance,0.14893617021276595
initial,Jigsaw,Spatial_Relation,0.04166666666666712
initial,Jigsaw,Jigsaw,0.3246753246753245
initial,Jigsaw,Counting,0.0
initial,Jigsaw,Functional_Correspondence,0.009900990099009866
initial,Jigsaw,Semantic_Correspondence,-0.03125000000000006
initial,Jigsaw,Multi-view_Reasoning,0.06249999999999997
initial,Jigsaw,Object_Localization,0.048387096774193575
initial,Jigsaw,Forensic_Detection,0.0
initial,Counting,Visual_Similarity,0.19642857142857134
initial,Counting,Art_Style,-0.15555555555555556
initial,Counting,Visual_Correspondence,0.20338983050847456
initial,Counting,Relative_Depth,0.3636363636363638
initial,Counting,Relative_Reflectance,0.12765957446808512
initial,Counting,Spatial_Relation,-0.08333333333333255
initial,Counting,Jigsaw,-0.07792207792207807
initial,Counting,Counting,-0.10256410256410242
initial,Counting,Functional_Correspondence,0.0
initial,Counting,Semantic_Correspondence,0.020833333333333308
initial,Counting,Multi-view_Reasoning,0.07499999999999998
initial,Counting,Object_Localization,-0.03225806451612905
