seed,ft_task,task,perfection_gap_factor
initial,Visual_Similarity,Visual_Similarity,0.8400000000000001
initial,Visual_Similarity,Art_Style,0.3559322033898305
initial,Visual_Similarity,Visual_Correspondence,0.37499999999999967
initial,Visual_Similarity,Relative_Depth,0.36111111111111116
initial,Visual_Similarity,Relative_Reflectance,0.23404255319148934
initial,Visual_Similarity,Spatial_Relation,0.185185185185185
initial,Visual_Similarity,Jigsaw,0.2881355932203389
initial,Visual_Similarity,Counting,0.07692307692307693
initial,Visual_Similarity,Functional_Correspondence,0.1
initial,Visual_Similarity,Semantic_Correspondence,-0.12676056338028166
initial,Visual_Similarity,Multi-view_Reasoning,-0.14084507042253513
initial,Visual_Similarity,Object_Localization,-0.1399999999999999
initial,Visual_Similarity,Forensic_Detection,-0.2894736842105267
initial,Art_Style,Visual_Similarity,0.5599999999999998
initial,Art_Style,Art_Style,0.6271186440677965
initial,Art_Style,Visual_Correspondence,0.25
initial,Art_Style,Relative_Depth,0.13888888888888887
initial,Art_Style,Relative_Reflectance,0.2021276595744681
initial,Art_Style,Spatial_Relation,0.11111111111111086
initial,Art_Style,Jigsaw,0.23728813559322023
initial,Art_Style,Counting,0.051282051282051426
initial,Art_Style,Functional_Correspondence,0.022222222222222195
initial,Art_Style,Semantic_Correspondence,-0.056338028169014016
initial,Art_Style,Multi-view_Reasoning,-0.05633802816901402
initial,Art_Style,Object_Localization,-0.19999999999999993
initial,Art_Style,Forensic_Detection,0.07894736842105242
initial,Visual_Correspondence,Visual_Similarity,0.5599999999999998
initial,Visual_Correspondence,Art_Style,0.49152542372881364
initial,Visual_Correspondence,Visual_Correspondence,0.5750000000000001
initial,Visual_Correspondence,Relative_Depth,0.3888888888888891
initial,Visual_Correspondence,Relative_Reflectance,0.0957446808510639
initial,Visual_Correspondence,Spatial_Relation,0.2962962962962959
initial,Visual_Correspondence,Jigsaw,0.2203389830508476
initial,Visual_Correspondence,Counting,0.025641025641025494
initial,Visual_Correspondence,Functional_Correspondence,0.13333333333333333
initial,Visual_Correspondence,Semantic_Correspondence,0.014084507042253504
initial,Visual_Correspondence,Multi-view_Reasoning,-0.1267605633802816
initial,Visual_Correspondence,Object_Localization,-0.27999999999999997
initial,Visual_Correspondence,Forensic_Detection,-0.18421052631578982
initial,Relative_Depth,Visual_Similarity,0.5599999999999998
initial,Relative_Depth,Art_Style,0.45762711864406774
initial,Relative_Depth,Visual_Correspondence,0.44999999999999973
initial,Relative_Depth,Relative_Depth,0.8055555555555557
initial,Relative_Depth,Relative_Reflectance,0.0
initial,Relative_Depth,Spatial_Relation,0.2962962962962959
initial,Relative_Depth,Jigsaw,0.2033898305084746
initial,Relative_Depth,Counting,0.10256410256410285
initial,Relative_Depth,Functional_Correspondence,0.0666666666666667
initial,Relative_Depth,Semantic_Correspondence,-0.04225352112676065
initial,Relative_Depth,Multi-view_Reasoning,-0.05633802816901402
initial,Relative_Depth,Object_Localization,-0.32
initial,Relative_Depth,Forensic_Detection,-0.02631578947368447
initial,Relative_Reflectance,Visual_Similarity,0.62
initial,Relative_Reflectance,Art_Style,0.49152542372881364
initial,Relative_Reflectance,Visual_Correspondence,0.34999999999999987
initial,Relative_Reflectance,Relative_Depth,0.33333333333333315
initial,Relative_Reflectance,Relative_Reflectance,0.04255319148936174
initial,Relative_Reflectance,Spatial_Relation,0.07407407407407415
initial,Relative_Reflectance,Jigsaw,0.1864406779661016
initial,Relative_Reflectance,Counting,0.051282051282051426
initial,Relative_Reflectance,Functional_Correspondence,0.05555555555555552
initial,Relative_Reflectance,Semantic_Correspondence,-0.14084507042253516
initial,Relative_Reflectance,Multi-view_Reasoning,-0.07042253521126757
initial,Relative_Reflectance,Object_Localization,-0.19999999999999993
initial,Relative_Reflectance,Forensic_Detection,-0.02631578947368447
initial,Spatial_Relation,Visual_Similarity,0.6000000000000002
initial,Spatial_Relation,Art_Style,0.47457627118644086
initial,Spatial_Relation,Visual_Correspondence,0.22500000000000017
initial,Spatial_Relation,Relative_Depth,0.27777777777777773
initial,Spatial_Relation,Relative_Reflectance,0.053191489361702156
initial,Spatial_Relation,Spatial_Relation,0.4074074074074075
initial,Spatial_Relation,Jigsaw,0.10169491525423693
initial,Spatial_Relation,Counting,0.15384615384615385
initial,Spatial_Relation,Functional_Correspondence,0.12222222222222226
initial,Spatial_Relation,Semantic_Correspondence,-0.014084507042253504
initial,Spatial_Relation,Multi-view_Reasoning,-0.028169014084506946
initial,Spatial_Relation,Object_Localization,-0.1799999999999999
initial,Spatial_Relation,Forensic_Detection,-0.13157894736842135
initial,Jigsaw,Visual_Similarity,0.62
initial,Jigsaw,Art_Style,0.4406779661016949
initial,Jigsaw,Visual_Correspondence,0.15000000000000013
